,Brand,link
0,Acer,acer-phones-59.php
1,alcatel,alcatel-phones-5.php
2,Allview,allview-phones-88.php
3,Amazon,amazon-phones-76.php
4,Amoi,amoi-phones-28.php
5,Apple,apple-phones-48.php
6,Archos,archos-phones-90.php
7,Asus,asus-phones-46.php
8,AT&T,at&t-phones-57.php
9,Benefon,benefon-phones-15.php
10,BenQ,benq-phones-31.php
11,BenQ-Siemens,benq_siemens-phones-42.php
12,Bird,bird-phones-34.php
13,BlackBerry,blackberry-phones-36.php
14,Blackview,blackview-phones-116.php
15,BLU,blu-phones-67.php
16,Bosch,bosch-phones-10.php
17,BQ,bq-phones-108.php
18,Casio,casio-phones-77.php
19,Cat,cat-phones-89.php
20,Celkon,celkon-phones-75.php
21,Chea,chea-phones-24.php
22,Coolpad,coolpad-phones-105.php
23,Dell,dell-phones-61.php
24,Emporia,emporia-phones-93.php
25,Energizer,energizer-phones-106.php
26,Ericsson,ericsson-phones-2.php
27,Eten,eten-phones-40.php
28,Fairphone,fairphone-phones-127.php
29,Fujitsu Siemens,fujitsu_siemens-phones-50.php
30,Garmin-Asus,garmin_asus-phones-65.php
31,Gigabyte,gigabyte-phones-47.php
32,Gionee,gionee-phones-92.php
33,Google,google-phones-107.php
34,Haier,haier-phones-33.php
35,Honor,honor-phones-121.php
36,HP,hp-phones-41.php
37,HTC,htc-phones-45.php
38,Huawei,huawei-phones-58.php
39,i-mate,i_mate-phones-35.php
40,i-mobile,i_mobile-phones-52.php
41,Icemobile,icemobile-phones-69.php
42,Infinix,infinix-phones-119.php
43,Innostream,innostream-phones-29.php
44,iNQ,inq-phones-60.php
45,Intex,intex-phones-102.php
46,Jolla,jolla-phones-84.php
47,Karbonn,karbonn-phones-83.php
48,Kyocera,kyocera-phones-17.php
49,Lava,lava-phones-94.php
50,LeEco,leeco-phones-109.php
51,Lenovo,lenovo-phones-73.php
52,LG,lg-phones-20.php
53,Maxon,maxon-phones-14.php
54,Maxwest,maxwest-phones-87.php
55,Meizu,meizu-phones-74.php
56,Micromax,micromax-phones-66.php
57,Microsoft,microsoft-phones-64.php
58,Mitac,mitac-phones-25.php
59,Mitsubishi,mitsubishi-phones-8.php
60,Modu,modu-phones-63.php
61,Motorola,motorola-phones-4.php
62,MWg,mwg-phones-56.php
63,NEC,nec-phones-12.php
64,Neonode,neonode-phones-22.php
65,NIU,niu-phones-79.php
66,Nokia,nokia-phones-1.php
67,Nvidia,nvidia-phones-97.php
68,O2,o2-phones-30.php
69,OnePlus,oneplus-phones-95.php
70,Oppo,oppo-phones-82.php
71,Orange,orange-phones-71.php
72,Palm,palm-phones-27.php
73,Panasonic,panasonic-phones-6.php
74,Pantech,pantech-phones-32.php
75,Parla,parla-phones-81.php
76,Philips,philips-phones-11.php
77,Plum,plum-phones-72.php
78,Posh,posh-phones-101.php
79,Prestigio,prestigio-phones-86.php
80,QMobile,qmobile-phones-103.php
81,Qtek,qtek-phones-38.php
82,Razer,razer-phones-117.php
83,Realme,realme-phones-118.php
84,Sagem,sagem-phones-13.php
85,Samsung,samsung-phones-9.php
86,Sendo,sendo-phones-18.php
87,Sewon,sewon-phones-26.php
88,Sharp,sharp-phones-23.php
89,Siemens,siemens-phones-3.php
90,Sonim,sonim-phones-54.php
91,Sony,sony-phones-7.php
92,Sony Ericsson,sony_ericsson-phones-19.php
93,Spice,spice-phones-68.php
94,T-Mobile,t_mobile-phones-55.php
95,TCL,tcl-phones-123.php
96,Tecno,tecno-phones-120.php
97,Tel.Me.,tel_me_-phones-21.php
98,Telit,telit-phones-16.php
99,Thuraya,thuraya-phones-49.php
100,Toshiba,toshiba-phones-44.php
101,Ulefone,ulefone-phones-124.php
102,Unnecto,unnecto-phones-91.php
103,Vertu,vertu-phones-39.php
104,verykool,verykool-phones-70.php
105,vivo,vivo-phones-98.php
106,VK Mobile,vk_mobile-phones-37.php
107,Vodafone,vodafone-phones-53.php
108,Wiko,wiko-phones-96.php
109,WND,wnd-phones-51.php
110,XCute,xcute-phones-43.php
111,Xiaomi,xiaomi-phones-80.php
112,XOLO,xolo-phones-85.php
113,Yezz,yezz-phones-78.php
114,Yota,yota-phones-99.php
115,YU,yu-phones-100.php
116,ZTE,zte-phones-62.php
